"V1" "V2" "V3"
-12.294338 -13.668428 -5.759661
-22.600794 -41.435211 -4.757742
-18.841961 -65.079407 -4.303873
-3.200418 -65.321899 -4.161115
-0.290361 -40.586437 -5.008701
-11.809351 -20.701073 -4.647954
-11.566825 -40.950195 -3.629434
-10.839312 -63.381889 -4.383568
-11.580217 -22.277363 -7.332049
-10.982664 -43.375259 -7.045475
-10.78984 -63.745644 -5.460752
-1.69337865843702 -33.090402973232 -4.68618921735393
-7.66680952528833 -37.2180780759999 -3.84144500611534
-15.2226181525689 -37.7512555803571 -7.16628054829387
-21.2452542154413 -50.5865891439873 -5.35724461706061
-8.27267120730492 -57.1481064827211 -6.46641229301371
-5.06775692303975 -34.8844069163005 -7.72943209012349
-4.31857585556367 -54.9027064267327 -3.61102545611999
-1.70107196858435 -39.1398484201142 -4.32869237841982
-13.080023073381 -52.5994367907124 -6.65418977122153
-13.8458192287347 -60.4962778335963 -5.90791334250034
-16.4295023957344 -60.0980636910216 -6.49871201711158
-2.32227263291677 -40.9958704630534 -6.92601851145426
-11.1883024359649 -15.2983416971171 -6.67788969795659
-6.23588246193485 -45.6301615618277 -3.52791456554247
-17.7924930909101 -62.1918880799237 -5.82442327807931
-2.75303937476358 -65.4722153463481 -4.93511366549833
-10.158948135376 -47.4078080177307 -6.94017353653908
-20.0970135019786 -37.2527739112057 -3.73406435126689
-3.23910040266058 -34.5697881720039 -7.3041506670834
-17.7890415532248 -63.428407737187 -5.41192660161427
-11.1272202833199 -60.9526120409553 -3.98178029060364
-20.4027796132224 -54.520731653486 -5.65982711315155
-1.98752991012905 -30.5248755302982 -6.62234218569769
-18.297700980614 -60.2556823204304 -3.58079296144946
-15.0981175224736 -47.4187393908231 -3.32557066431585
-15.6976866785685 -35.8366145833333 -3.16576171875
-1.77619471260019 -34.3583004925702 -4.41522535117897
-12.847758443015 -63.0774520329067 -4.14512161186763
-16.4698860062493 -32.1492323557536 -3.29020049307081
-10.8619432320466 -20.2190455101632 -4.71566052694578
-11.6991000175476 -61.3702824910482 -5.42826512881688
-15.7669019370243 -49.0436793360217 -6.99978142771228
-14.4010983764148 -49.1083868058001 -6.91963586650911
-22.4222507017205 -37.5942903082055 -4.99222666384226
-11.8971285956247 -20.2378378731864 -7.12281631061009
-12.6276433364205 -43.8349005657694 -3.56347554662953
-14.5561781796542 -35.182146765969 -3.37183936436971
-9.87654100550283 -32.8613778671416 -7.50161035462181
-3.54755465719435 -32.9002669864231 -7.21473703384399
-0.134686966202996 -38.2344658240843 -5.70776697223106
-7.29493524603648 -18.3008793870064 -5.04102878047995
-14.7035209037162 -20.6640455916121 -4.54502507802602
-12.8183073661697 -62.6849304521588 -5.66124503713259
-3.0195278485616 -62.6676864624023 -4.20092107454936
-21.8274045671735 -39.9095125955249 -4.39108380817232
-1.87258625935905 -44.6889638780039 -6.46020718465877
-19.5541260278047 -38.708421792557 -3.51642932820676
-8.67118942141533 -23.6909160852432 -4.52398969531059
-9.63184827804565 -52.4598753356934 -6.70437023162842
-11.5800021924471 -24.3529014788176 -4.39711283633583
-20.0412944867773 -25.7552945961073 -5.77332600806523
-17.4191948872692 -49.1528966651773 -3.16726902745805
-17.1426894005309 -28.2516217536115 -3.49149219279594
-18.8140549432664 -64.1183810461135 -4.20906566438221
-8.0387136247423 -51.5510088178847 -6.87338239351908
-8.69888985157013 -49.7203706440173 -3.48889893920798
-2.32806063844607 -26.0771148938399 -5.82701842142985
-7.18299945501181 -63.177680015564 -4.20617147592398
-3.94802191711607 -41.9733055205572 -3.55414350259872
-1.1409296412217 -47.1616065577457 -4.47280695563868
-17.4220034211547 -29.5687272627275 -3.55337608515561
-2.95142844448919 -50.8053937718488 -3.90026809512705
-12.8179557239308 -29.3028479407815 -3.92466926294215
-17.7619999711232 -27.7575886018815 -7.05629251336539
-14.1474222571163 -62.9874140852589 -5.65597470332
-1.76808189418581 -55.9415158589681 -4.31282518704732
-15.4132890566974 -28.1697161499883 -3.62669454158192
-15.7167312915509 -21.1132476513202 -4.60232142301706
-15.3673256443393 -47.583708916941 -6.99213409423828
-18.0524428356653 -37.0204915890748 -7.36235025559349
-17.5040159312957 -19.8459390587763 -6.04943803909722
-13.7309540253651 -22.9109728366514 -4.19311484807654
-7.05385173753251 -23.8014516830444 -4.50373247057893
-19.2638116564069 -33.2133676801409 -3.95023315634046
-16.331081064736 -29.0919362510123 -7.26489635793174
-0.298055026782294 -36.2226376990749 -5.4912901512564
-12.5520286429418 -45.2536230740482 -3.54016087806388
-6.85502672195435 -56.2176798907193 -6.70519165017388
-4.24920068127768 -31.6931080681937 -4.20776656695775
-8.01173701967512 -56.0900909968785 -3.83905004433223
-15.7016336019937 -32.0753884253564 -7.33700076016513
-6.43346993649592 -25.9743763657867 -4.44237698883307
-20.7513087749481 -32.2704988002777 -6.38109068870544
-16.1926091677183 -33.4214613778251 -7.28800467082432
-8.0869957453584 -29.4340482476639 -4.24966461364537
-13.2006011914603 -35.5827762265749 -3.59664479086671
-15.8712053063475 -21.3829207714693 -6.82258537080553
-6.3896320215861 -40.5516839090983 -7.15810523351034
-20.1911450845224 -35.0539792378744 -6.82461501345222
-17.1539284334344 -46.6592140844313 -3.24122552548425
-19.0592346191406 -26.4574308178642 -6.5810156789693
-2.60851109188956 -50.4595778181746 -6.29879316123756
-15.1712119680055 -59.3228447605187 -3.56369400696016
-6.15695005573638 -64.1228669048989 -5.08977292988398
-16.2125904685573 -49.110516196803 -3.17714835468091
-8.29606256605704 -57.5943796664854 -3.89245275606083
-19.5256655179537 -40.5297307527982 -7.1928292127756
-8.83428677916527 -35.8583772778511 -3.94111475721002
-14.5731334050496 -17.5065896352132 -5.40683979988098
-16.5501312191567 -56.6185744210575 -3.16791562819749
-9.50020950181144 -56.2729980832055 -3.79150990361259
-16.1573346455892 -51.7375150487043 -3.04865256599758
-8.82876484129164 -26.3075803332859 -4.40799070994059
-6.98591182318078 -48.8839593450707 -7.05395915134844
-15.2333596132804 -43.8137250153915 -3.35094701034435
-7.91397233009338 -39.4308994293213 -7.11915571093559
-16.0881750687309 -40.9795704717221 -3.20738341842873
-15.1106901530978 -61.1833045573174 -6.28763893586171
-8.61005637122364 -55.7400799262814 -6.56363975710985
-17.1246702755199 -38.1964161592371 -3.12609451798832
-14.3752383158757 -40.7375715989333 -3.33755793571472
-11.6852430532008 -22.1805495038445 -7.33388900168148
-12.5029129923126 -50.4331985285253 -3.44109507548956
